title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Toyota Corolla CR 13.REG 1999.MODEL 1996,Toyota,Corolla,Automatic,"CNG, Octane","Tk 530,000",1996,"1,500 cc","89,000 km",30
Toyota Corolla Cross 2023,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 5,500,000",2025,"1,800 cc","15,500 km",1
Toyota RAV4 CR 13.REG 2011.MODEL 2005,Toyota,RAV4,Automatic,"Octane, LPG","Tk 1,370,000",2005,"1,800 cc","87,000 km",21
Toyota Allion CR 23.REG 2010.MODEL 2004,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,350,000",2004,"1,500 cc","89,000 km",22
Toyota Hiace 2015,Toyota,Hiace,Automatic,"CNG, Octane","Tk 2,750,000",2020,"2,000 cc","190,000 km",6
Toyota Premio F 2014,Toyota,Premio,Automatic,Octane,"Tk 2,480,000",2014,"1,500 cc","63,000 km",12
Toyota Axio EX 2020,Toyota,Axio,Automatic,Octane,"Tk 2,400,000",2020,"1,500 cc","50,868 km",6
Toyota Axio 2017,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,000,000",2023,"1,500 cc","86,000 km",3
Toyota Axio X 2013,Toyota,Axio,Automatic,Octane,"Tk 1,670,000",2013,"1,500 cc","64,000 km",13
Toyota Fielder G Edition Top Trim 2007,Toyota,Fielder,Automatic,Octane,"Tk 1,320,000",2007,"1,500 cc","290,000 km",19
Toyota Premio Super FreshCondition 2003,Toyota,Premio,Automatic,"CNG, Octane","Tk 1,370,000",2003,"1,500 cc","98,000 km",23
Toyota Noah TownAce Only Octane 2011,Toyota,Noah,Automatic,Octane,"Tk 750,000",2011,"1,500 cc","65,000 km",15
Toyota Probox GL 4-Door auto 2003,Toyota,Probox,Automatic,"CNG, Octane","Tk 730,000",2003,"1,500 cc","93,000 km",23
Toyota Allion Super FreshCondition 2006,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,580,000",2006,"1,500 cc","83,000 km",20
Toyota Corolla X New Shape 2004,Toyota,Corolla,Automatic,Octane,"Tk 1,080,000",2004,"1,500 cc","140,000 km",22
Toyota Corolla 40th anniversary 2005,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,295,000",2005,"1,500 cc","83,000 km",21
Toyota Fielder 40th anniversary 2005,Toyota,Fielder,Automatic,"Octane, LPG","Tk 1,295,000",2005,"1,500 cc","93,000 km",21
Toyota Allion Super FreshCondition 2010,Toyota,Allion,Automatic,"Octane, LPG","Tk 2,130,000",2010,"1,500 cc","76,000 km",16
Toyota Axio Fresh condition 2010,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,480,000",2010,"1,500 cc","92,000 km",16
Toyota Axio Doctor used 2013,Toyota,Axio,Automatic,"Octane, LPG","Tk 1,680,000",2013,"1,500 cc","87,000 km",13
Hyundai Dagon Jeep 2004,Hyundai,Other Model,Automatic,"Octane, LPG","Tk 1,200,000",2004,"3,497 cc","500,000 km",22
Toyota Noah Sparky 2000,Toyota,Noah,Automatic,Octane,"Tk 530,000",2000,"1,299 cc","150,000 km",26
Mahindra Jeep 2017,Mahindra,Other Model,Automatic,Diesel,"Tk 995,000",2017,"1,500 cc","60,000 km",9
Toyota Prado Land Cruiser TX 2017,Toyota,Prado,Automatic,Octane,"Tk 10,900,001",2017,"2,700 cc","52,291 km",9
DFSK Glory I-Auto 2020,DFSK,Glory I-Auto,Automatic,"Octane, LPG","Tk 2,300,000",2020,"1,500 cc","35,500 km",6
Toyota Sienta HYBRID 2016,Toyota,Sienta,Automatic,"Hybrid, Octane","Tk 1,850,000",2016,"1,500 cc","67,000 km",10
Toyota Sienta G QUERO TV 2020,Toyota,Sienta,Automatic,Hybrid,"Tk 2,750,000",2020,"1,500 cc","69,000 km",6
Toyota Axio EX PUSH START 2020,Toyota,Axio,Automatic,Hybrid,"Tk 2,550,000",2020,"1,500 cc","39,000 km",6
Toyota Prius A PREMIUM 2020,Toyota,Prius,Automatic,Hybrid,"Tk 3,250,000",2020,"1,800 cc","21,000 km",6
Toyota Voxy SZ 2023,Toyota,Voxy,Automatic,Hybrid,"Tk 4,800,000",2023,"1,800 cc","41,000 km",3
Toyota Corolla WXB BODYKIT 4 2021,Toyota,Corolla,Automatic,Hybrid,"Tk 3,400,000",2021,"1,800 cc","61,000 km",5
Toyota Harrier z leather 5 2021,Toyota,Harrier,Automatic,"Petrol, Octane","Tk 8,190,000",2021,"2,000 cc","38,000 km",5
Toyota Corolla Cross 2023,Toyota,Corolla Cross,Automatic,Octane,"Tk 5,300,000",2023,"1,800 cc",18 km,3
Toyota Corolla AE 101 1993,Toyota,Corolla,Automatic,"CNG, Octane","Tk 480,000",1993,"1,331 cc","150,000 km",33
Toyota Premio FL PKG Octane 2015,Toyota,Premio,Automatic,Octane,"Tk 2,695,000",2015,"1,500 cc","81,000 km",11
